"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Potty","2024-09-04 08:34",,,,,"Pee:small",
"Potty","2024-09-04 06:55",,,,,"Pee",
"Sleep","2024-09-03 19:23","2024-09-04 06:37","11:14",,,,
"Potty","2024-09-03 17:36",,,,,"Pee",
"Potty","2024-09-03 16:00",,,,,"Pee",
"Potty","2024-09-03 14:30",,,,,"Pee",
"Potty","2024-09-03 13:03",,,,,"Pee",
"Potty","2024-09-03 11:46",,,,,"Both",
"Potty","2024-09-03 11:20",,,,,"Pee",
"Potty","2024-09-03 09:40",,,,,"Pee",
"Sleep","2024-09-02 19:30","2024-09-03 07:35","12:05",,,,
"Potty","2024-09-02 18:35",,,,,"Pee",
"Potty","2024-09-02 16:40",,,,,"Pee",
"Potty","2024-09-02 15:15",,,,,"Poo",
"Potty","2024-09-02 14:37",,,,,"Pee",
"Potty","2024-09-02 12:43",,,,,"Dry",
"Potty","2024-09-02 10:43",,,,,"Pee",
"Potty","2024-09-02 10:00",,,,,"Dry",
"Potty","2024-09-02 09:30",,,,,"Dry",
"Potty","2024-09-02 07:55",,,,,"Pee",
"Sleep","2024-09-01 19:05","2024-09-02 06:13","11:08",,,,
"Potty","2024-09-01 18:30",,,,,"Dry",
"Potty","2024-09-01 18:10",,,,,"Pee",
"Potty","2024-09-01 17:45",,,,,"Dry",
"Potty","2024-09-01 17:15",,,,,"Pee","In the car"
"Potty","2024-09-01 15:22",,,,,"Pee",
"Potty","2024-09-01 12:37",,,,,"Pee",
"Potty","2024-09-01 11:53",,,,,"Pee",
"Potty","2024-09-01 09:47",,,,,"Pee",
"Potty","2024-09-01 09:04",,,,,"Pee",
"Diaper","2024-09-01 07:15",,,,,"Poo",
"Sleep","2024-08-31 21:57","2024-09-01 07:01","09:04",,,,
"Potty","2024-08-31 20:13",,,,,"Pee",
"Potty","2024-08-31 18:55",,,,,"Pee",
"Potty","2024-08-31 17:28",,,,,"Pee",
"Potty","2024-08-31 15:12",,,,,"Poo",
"Potty","2024-08-31 14:53",,,,,"Pee",
"Sleep","2024-08-31 13:44","2024-08-31 14:29","00:45",,,,
"Potty","2024-08-31 13:03",,,,,"Pee",
"Potty","2024-08-31 12:27",,,,,"Pee",
"Potty","2024-08-31 10:53",,,,,"Pee",
"Potty","2024-08-31 09:22",,,,,"Pee",
"Potty","2024-08-31 09:00",,,,,"Dry",
"Potty","2024-08-31 08:00",,,,,"Dry",
"Sleep","2024-08-30 20:55","2024-08-31 07:23","10:28",,,,
"Potty","2024-08-30 19:36",,,,,"Pee",
"Potty","2024-08-30 18:06",,,,,"Pee",
"Potty","2024-08-30 16:33",,,,,"Pee",
"Potty","2024-08-30 14:29",,,,,"Pee",
"Potty","2024-08-30 12:40",,,,,"Pee",
"Potty","2024-08-30 11:09",,,,,"Pee",
"Potty","2024-08-30 09:30",,,,,"Pee",
"Potty","2024-08-30 07:57",,,,,"Both",
"Sleep","2024-08-29 21:09","2024-08-30 07:06","09:57",,,,
"Potty","2024-08-29 19:42",,,,,"Pee",
"Potty","2024-08-29 18:56",,,,,"Pee",
"Potty","2024-08-29 18:00",,,,,"Pee","In car, waited too long between stops"
"Potty","2024-08-29 14:58",,,,,"Both",
"Potty","2024-08-29 14:35",,,,,"Pee",
"Potty","2024-08-29 12:22",,,,,"Pee",
"Potty","2024-08-29 09:50",,,,,"Pee",
"Potty","2024-08-29 08:30",,,,,"Pee",
"Potty","2024-08-29 07:06",,,,,"Pee",
"Sleep","2024-08-28 19:07","2024-08-29 05:26","10:19",,,,
"Potty","2024-08-28 17:42",,,,,"Pee",
"Potty","2024-08-28 16:10",,,,,"Pee",
"Potty","2024-08-28 14:30",,,,,"Pee",
"Potty","2024-08-28 12:50",,,,,"Pee",
"Potty","2024-08-28 11:00",,,,,"Pee",
"Potty","2024-08-28 09:30",,,,,"Pee",
"Potty","2024-08-28 07:50",,,,,"Pee",
"Potty","2024-08-28 06:40",,,,,"Both",
"Sleep","2024-08-27 19:03","2024-08-28 06:20","11:17",,,,
"Potty","2024-08-27 17:10",,,,,"Pee",
"Potty","2024-08-27 15:10",,,,,"Pee",
"Potty","2024-08-27 13:17",,,,,"Pee",
"Potty","2024-08-27 12:06",,,,,"Pee",
"Potty","2024-08-27 10:30",,,,,"Pee",
"Potty","2024-08-27 09:15",,,,,"Pee",
"Potty","2024-08-27 07:35",,,,,"Pee:small",
"Potty","2024-08-27 06:15",,,,,"Pee",
"Sleep","2024-08-26 19:00","2024-08-27 06:07","11:07",,,,
"Potty","2024-08-26 18:15",,,,,"Pee",
"Potty","2024-08-26 16:15",,,,,"Pee:small",
"Potty","2024-08-26 15:11",,,,,"Pee",
"Potty","2024-08-26 13:18",,,,,"Pee",
"Potty","2024-08-26 12:20",,,,,"Pee","At school"
"Potty","2024-08-26 11:00",,,,,"Pee",
"Potty","2024-08-26 09:30",,,,,"Pee",
"Potty","2024-08-26 08:25",,,,,"Pee",
"Potty","2024-08-26 07:00",,,,,"Both",
"Sleep","2024-08-25 20:55","2024-08-26 06:35","09:40",,,,
"Potty","2024-08-25 19:30",,,,,"Pee",
"Potty","2024-08-25 17:41",,,,,"Pee",
"Potty","2024-08-25 16:40",,,,,"Pee",
"Potty","2024-08-25 15:15",,,,,"Pee",
"Potty","2024-08-25 14:15",,,,,"Pee","While asleep"
"Sleep","2024-08-25 13:38","2024-08-25 15:00","01:22",,,,
